Cultivar,Neighbourhood,Location Description,Blooming
Ama-no-gawa,Kensington-Cedar Cottage,Westbound Kingsway @ Dumfries St Knight,04/07-04/21
Ama-no-gawa,Killarney,"48th & Wales, residential yard",04/07-04/21
Ama-no-gawa,Kitsilano,"1st and Maple, ne corner",04/07-04/21
Ama-no-gawa,Kitsilano,Larch between 4th and 5th,04/07-04/21
Ama-no-gawa,Kitsilano,2nd and Larch,04/07-04/21
Ama-no-gawa,Kitsilano,Macdonald and 2nd,04/07-04/21
Ama-no-gawa,Kitsilano,"Yew, lane to east betw York and 1st",04/07-04/21
Ama-no-gawa,Kitsilano,1068 Maple St,04/07-04/21
Ama-no-gawa,Kitsilano,2721 W 7th Ave,04/07-04/21
Ama-no-gawa,Kitsilano,2124 W 8th Ave,04/07-04/21
Ama-no-gawa,Langley,Willowbrook shopping center,04/07-04/21
Ama-no-gawa,Langley,2983-3025 Aldergrove-Bellingham Hwy,04/07-04/21
Ama-no-gawa,Langley,5656-5660 201a St,04/07-04/21
Ama-no-gawa,Langley,200 St @ 40 Ave Langley Twp,04/07-04/21
Ama-no-gawa,Langley,20881 56 Ave,04/07-04/21
Ama-no-gawa,Langley,20969 80 Ave,04/07-04/21
Ama-no-gawa,Langley,5360 205 St,04/07-04/21
Ama-no-gawa,New Westminster,1006 Eighth Ave,04/07-04/21
Ama-no-gawa,New Westminster,402 Eighth Ave,04/07-04/21
Ama-no-gawa,North Vancouver,Tempe Knoll Dr.,04/07-04/21
Ama-no-gawa,North Vancouver,East 2t Street (Btw Eastern Ave. and St Geroges Ave.),04/07-04/21
Ama-no-gawa,North Vancouver,The manor at Edgement,04/07-04/21
Ama-no-gawa,North Vancouver,East 27th St. and Eastern,04/07-04/21
Ama-no-gawa,North Vancouver,Trillium Pl,04/07-04/21
Ama-no-gawa,North Vancouver,Walpole Crescent,04/07-04/21
Ama-no-gawa,Port Coquitlam,2147 Shaughnessy St,04/07-04/21
Ama-no-gawa,Port Coquitlam,2375 Shaughnessy St,04/07-04/21
Ama-no-gawa,Port Coquitlam,2840 Oxford St,04/07-04/21
Ama-no-gawa,Port Moody,3512 Marine Ave,04/07-04/21
Ama-no-gawa,Port Moody,3130 St Johns St,04/07-04/21
Ama-no-gawa,Port Moody,88 Grant St,04/07-04/21
Ama-no-gawa,Port Moody,Suter Brook Way Port Moody,04/07-04/21
Ama-no-gawa,Renfrew-Collingwood,3178 Rupert St,04/07-04/21
Ama-no-gawa,Richmond,Minoru Blvd and Westminster Hwy ???6 trees,04/07-04/21
Ama-no-gawa,Richmond,the corner of McMillan Way and Westminster Hwy,04/07-04/21
Ama-no-gawa,Richmond,8120 Granville Road,04/07-04/21
Ama-no-gawa,Richmond,8644 Jones St,04/07-04/21
Ama-no-gawa,Richmond,Sandman Hotel,04/07-04/21
Ama-no-gawa,Richmond,"No. 1 Rd, Moncton",04/07-04/21
Ama-no-gawa,Richmond,7571 Moffatt Road,04/07-04/21
Ama-no-gawa,Richmond,10251 st edwards dr,04/07-04/21
Ama-no-gawa,Richmond,Eastbound Westminster Hwy @ Elmbridge Way Richmond,04/07-04/21
Ama-no-gawa,Richmond,621-7008 River Rd,04/07-04/21
Ama-no-gawa,Riley Park,40th and Quebec,04/07-04/21
Ama-no-gawa,Riley Park,5033 Kersland Dr,04/07-04/21
Ama-no-gawa,Riley Park,226 Talisman Ave,04/07-04/21
Ama-no-gawa,Shaughnessy,VanDusen GrtL,04/07-04/21
Ama-no-gawa,South Cambie,16th at Willow,04/07-04/21
Ama-no-gawa,South Cambie,3434 Laurel St,04/07-04/21
Ama-no-gawa,South Cambie,4085 Ash St,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,5098 Davis Bay Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,696 Trueman Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,361 Harry Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,868 Inglis Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,1730 Ocean Beach Esplanade,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,872 O'Shea Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,5098 Davis Bay Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,5301 Snodgrass Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,442 Marine Dr,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,1152 Reed Rd,04/07-04/21
Ama-no-gawa,Sunshine Coast/Gulf Islands,12912 Madeira Park Rd,04/07-04/21
Ama-no-gawa,Surrey and North Delta,EB 84 Av FS Scott Rd Newton,04/07-04/21
Ama-no-gawa,Surrey and North Delta,13771 72a Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,15152-15198 Hyland Rd,04/07-04/21
Ama-no-gawa,Surrey and North Delta,7246-7384 122 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,15351-15435 BC-10,04/07-04/21
Ama-no-gawa,Surrey and North Delta,5926 150 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,15136 60th Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,6022-6050 150 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,7550 129a St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,13000-13198 80 Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,8312 128 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,9886-9922 151 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,9128 152 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,15452 88 Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,8760-8770 156 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,14640-14658 72a Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,7495 132 St,04/07-04/21
Ama-no-gawa,Surrey and North Delta,15211-15225 102a Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,16703 22A Ave,04/07-04/21
Ama-no-gawa,Surrey and North Delta,1660 168 St,04/07-04/21
Ama-no-gawa,UBC,University at Main Mall,04/07-04/21
Ama-no-gawa,UBC,5868 Agronomy Rd,04/07-04/21
Ama-no-gawa,"Victoria, BC",1002 Vancouver St,04/07-04/21
Ama-no-gawa,Victoria-Fraserview,7705 Jasper Cres,04/07-04/21
Ama-no-gawa,West End / Stanley Park,Chilco at Alberni,04/07-04/21
Ama-no-gawa,West End / Stanley Park,Bute and Alberni,04/07-04/21
Ama-no-gawa,West End / Stanley Park,1491 Beach Ave,04/07-04/21
Ama-no-gawa,West Point Grey,Sasamat and 15th,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Semiahmoo shopping parking from 152 St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,18 Ave and 152 St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,2099-152St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,148A St and 22 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,1222 King George Hwy,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,26 Ave west from King George Hwy,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,"New street from 26 Ave, west from 160 St",04/07-04/21
Ama-no-gawa,White Rock / South Surrey,140 St between 18 Ave and 16 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Blackburn Ave and Archibald,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,2424A Ave near 150 St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,26 Ave and 149 St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,148 Str between 17 and 18 Avenues,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,147A St between 28 and 30 Avenues,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,143 St and 34 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,"34Ave and 152Str, 32 ave",04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Martin Dr to Semiahmoo Shopping Centre,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,156Str near 37ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Croydon dr. near 24 ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Semiahmoo Trail,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,15177 Semiahmoo Shopping Centre,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,Vine Ave west of Oxford,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,13651-13757 20a Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,2508 Crescent Dr,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,1408 Johnston Rd,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,12950 19 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,12731 Beckett Rd,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,1834 129a St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,15491 Roper Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,26 148a St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,15450 Columbia Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,14461 28 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,1806 140 St,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,13699 32 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,14927 24 Ave,04/07-04/21
Ama-no-gawa,White Rock / South Surrey,15663 Mountain View Dr,04/07-04/21
Asagi,White Rock / South Surrey,Amble Greene Dr near 18A Ave,04/01-04/15
Atsumori,West Point Grey,14th west of Wallace,04/01-04/14
Autumnalis,Richmond,7151 Moffatt Road,01/01-01/10
Autumnalis,Richmond,7400 Gilbert Road,01/01-01/10
Autumnalis,Richmond,7151 Moffatt Road,01/01-01/10
Autumnalis Rosea,Arbutus Ridge,40th and Yew,01/01-01/10
Autumnalis Rosea,Burnaby,4439 Georgia St,01/01-01/10
Autumnalis Rosea,Burnaby,175 Barnet Rd,01/01-01/10
Autumnalis Rosea,Burnaby,4755 Cambridge St,01/01-01/10
Autumnalis Rosea,Dunbar-Southlands,SW Marine and SW Marine,01/01-01/10
Autumnalis Rosea,Fairview,Old Bridge Walk at Lamey's Mill Road,01/01-01/10
Autumnalis Rosea,Fairview,10th and Birch,01/01-01/10
Autumnalis Rosea,Grandview-Woodland,"Templeton, Graveley to 1st",01/01-01/10
Autumnalis Rosea,Hastings-Sunrise,"Nanaimo, Grant to Venables",01/01-01/10
Autumnalis Rosea,Kitsilano,1st and Waterloo,01/01-01/10
Autumnalis Rosea,Kitsilano,1st and Cypress,01/01-01/10
Autumnalis Rosea,Langley,197Str north from 64Ave,01/01-01/10
Autumnalis Rosea,Marpole,Cambie and 61st,01/01-01/10
Autumnalis Rosea,Mount Pleasant,15th west of Yukon,01/01-01/10
Autumnalis Rosea,New Westminster,Douglas College on 8th Ave,01/01-01/10
Autumnalis Rosea,North Vancouver,86 Semisch Ave,01/01-01/10
Autumnalis Rosea,Renfrew-Collingwood,Grandview Hwy and Renfrew,01/01-01/10
Autumnalis Rosea,Renfrew-Collingwood,"Boundary, south of Grandview Hsy",01/01-01/10
Autumnalis Rosea,Richmond,7560 Blundell Road,01/01-01/10
Autumnalis Rosea,Richmond,7551 Moffatt Road,01/01-01/10
Autumnalis Rosea,Strathcona,Cordova at Gore,01/01-01/10
Autumnalis Rosea,Strathcona,"Gore at Cordova, behind Firehall Theatre",01/01-01/10
Autumnalis Rosea,Strathcona,"Pender, between Heatley and Campbell",01/01-01/10
Autumnalis Rosea,Strathcona,Dr. Sun Yat-Set Garden,01/01-01/10
Autumnalis Rosea,UBC,Chancellor Blvd near Theology Mall,01/01-01/10
Autumnalis Rosea,UBC,"UBC North Parkade, north of SUB",01/01-01/10
Autumnalis Rosea,UBC,Bio Sciences Rd at East Mall,01/01-01/10
Autumnalis Rosea,UBC,NW Marine Drive,01/01-01/10
Autumnalis Rosea,West End / Stanley Park,Lost Lagoon,01/01-01/10
Autumnalis Rosea,West End / Stanley Park,Pacific St: n side Burrard to Thurlow,01/01-01/10
Autumnalis Rosea,West End / Stanley Park,Thurlow at lane betw Burnaby and Harwood,01/01-01/10
Autumnalis Rosea,West End / Stanley Park,1114 Burnaby St,01/01-01/10
Autumnalis Rosea,White Rock / South Surrey,145a and 30,01/01-01/10
Autumnalis Rosea,White Rock / South Surrey,16Ave and 128Str,01/01-01/10
Autumnalis Rosea,White Rock / South Surrey,160Str and 9Ave,01/01-01/10
Autumnalis Rosea,White Rock / South Surrey,3685 142 St,01/01-01/10
Autumnalis Rosea,White Rock / South Surrey,14528 18 Ave,01/01-01/10
Avium,Killarney,"47th, Vivian to Raleigh",04/15-04/29
Avium,Marpole,66th and Adera,04/15-04/29
Avium,Renfrew-Collingwood,3402 E 22nd Ave,04/15-04/29
Avium,Richmond,No. 1 Road,04/06-04/20
Avium Plena,Dunbar-Southlands,"Olympic, 39th to 41st",04/10-04/25
Avium Plena,Dunbar-Southlands,Blenheim and 24th,04/10-04/25
Avium Plena,Fairview,16th at Laurel,04/10-04/25
Avium Plena,Hastings-Sunrise,"Venables, Kamloops to Kaslo",04/10-04/25
Avium Plena,Hastings-Sunrise,Renfrew at Triumph,04/10-04/25
Avium Plena,Kensington-Cedar Cottage,"20th, Knight to Fleming",04/10-04/25
Avium Plena,Kensington-Cedar Cottage,19th west of Dumfries,04/10-04/25
Avium Plena,Killarney,"Kerr St, 45th-47th",04/10-04/25
Avium Plena,Kitsilano,Point Grey Road near Trutch,04/10-04/25
Avium Plena,Marpole,65th east of Adera,04/10-04/25
Avium Plena,Marpole,8155-8279 Cartier St,04/10-04/25
Avium Plena,Mount Pleasant,2805 Alberta St,04/10-04/25
Avium Plena,North Vancouver,intersection of E.29th and an alley,04/10-04/25
Avium Plena,Oakridge,6545 Alberta St,04/10-04/25
Avium Plena,Renfrew-Collingwood,3028 E 18th Ave,04/10-04/25
Avium Plena,Riley Park,29th and Cambie,04/10-04/25
Avium Plena,Riley Park,Manitoba and 18th,04/10-04/25
Avium Plena,Shaughnessy,VanDusen AutStroll,04/10-04/25
Avium Plena,Shaughnessy,5076 Pine Cres,04/10-04/25
Avium Plena,South Cambie,"Heather, 37th to 41st",04/10-04/25
Avium Plena,South Cambie,Ash at 37th,04/10-04/25
Avium Plena,South Cambie,735-755 W 23rd Ave,04/10-04/25
Avium Plena,Strathcona,"Thornton Park, Terminal at Main, Canadian National Rail Station",04/10-04/25
Avium Plena,Sunset,"51st, Fraser to Ross",04/10-04/25
Avium Plena,Sunset,"Elgin, 47th to 49th",04/10-04/25
Avium Plena,Victoria-Fraserview,"Bruce, 45th to 49th",04/10-04/25
Avium Plena,Victoria-Fraserview,1421-1491 N Arm Trail Greenway,04/10-04/25
Avium Plena,Victoria-Fraserview,6198 Commercial St,04/10-04/25
Avium Plena,West End / Stanley Park,1204 Beach Ave,04/10-04/25
Avium Plena,West Point Grey,Highbury St from 1st Ave to 4th Ave,04/10-04/25
Avium Plena,West Point Grey,3837 W 11th Ave,04/10-04/25
Beni-shidare,Arbutus Ridge,18th and Macdonald,03/17-03/30
Beni-shidare,Arbutus Ridge,2266 W 22nd Ave,03/17-03/30
Beni-shidare,Burnaby,"East Court, Eastlawn",03/17-03/30
Beni-shidare,Burnaby,Southwood and McKay,03/17-03/30
Beni-shidare,Burnaby,Patrick,03/17-03/30
Beni-shidare,Burnaby,1983-2031 Yeovil Ave,03/17-03/30
Beni-shidare,Burnaby,3619 Lynndale Crescent,03/17-03/30
Beni-shidare,Burnaby,124 Warwick Ave,03/17-03/30
Beni-shidare,Burnaby,7192 Trudy Ct,03/17-03/30
Beni-shidare,Burnaby,6671 Acacia Ave,03/17-03/30
Beni-shidare,Burnaby,5575 Gilpin St,03/17-03/30
Beni-shidare,Burnaby,7421 Stanley St,03/17-03/30
Beni-shidare,Burnaby,7463 Lambeth Dr,03/17-03/30
Beni-shidare,Burnaby,6910 Adair St,03/17-03/30
Beni-shidare,Burnaby,6551 Sumas Dr,03/17-03/30
Beni-shidare,Burnaby,2957 Noel Dr,03/17-03/30
Beni-shidare,Burnaby,2941 Noel Dr,03/17-03/30
Beni-shidare,Burnaby,4175 Portland,03/17-03/30
Beni-shidare,Coquitlam,Iris Crescent Coquitlam,03/17-03/30
Beni-shidare,Coquitlam,Honeysuckle & Trillium,03/17-03/30
Beni-shidare,Coquitlam,1293 Lansdowne Dr,03/17-03/30
Beni-shidare,Delta,Elliot St & Westminster Dr,03/17-03/30
Beni-shidare,Delta,8405 Brooke Rd,03/17-03/30
Beni-shidare,Dunbar-Southlands,W16th Ave near Collingwood,03/17-03/30
Beni-shidare,Dunbar-Southlands,3829 W 34th Ave Dunbar,03/17-03/30
Beni-shidare,Dunbar-Southlands,3989 W 29th Ave,03/17-03/30
Beni-shidare,Fairview,13th at Fir 1 large old tree,03/17-03/30
Beni-shidare,Fairview,13th and Heather,03/17-03/30
Beni-shidare,Fairview,590 W 12th Ave,03/17-03/30
Beni-shidare,Fairview,1341 W 14th Ave,03/17-03/30
Beni-shidare,Hastings-Sunrise,2707 Eton St,03/17-03/30
Beni-shidare,Hastings-Sunrise,215-225 N Slocan St,03/17-03/30
Beni-shidare,Kensington-Cedar Cottage,"35th, between Culloden and Knight",03/17-03/30
Beni-shidare,Kensington-Cedar Cottage,"37th, between Argyle and Bruce",03/17-03/30
Beni-shidare,Kensington-Cedar Cottage,Vanness and Nanaimo,03/17-03/30
Beni-shidare,Kensington-Cedar Cottage,Nanaimo at Vanness,03/17-03/30
Beni-shidare,Kerrisdale,Macdonald at 44th,03/17-03/30
Beni-shidare,Kerrisdale,West Blvd at 54th Ave,03/17-03/30
Beni-shidare,Kerrisdale,49th and McCleery,03/17-03/30
Beni-shidare,Kerrisdale,2082 W 43rd Ave,03/17-03/30
Beni-shidare,Kerrisdale,5950 Blenheim St,03/17-03/30
Beni-shidare,Kerrisdale,5811 Blenheim St,03/17-03/30
Beni-shidare,Killarney,Tyne near 49th 1 nice tree,03/17-03/30
Beni-shidare,Killarney,7986 Elliott,03/17-03/30
Beni-shidare,Kitsilano,16th west of Vine,03/17-03/30
Beni-shidare,Kitsilano,8th and Trutch,03/17-03/30
Beni-shidare,Kitsilano,2536-2596 W 6th Ave,03/17-03/30
Beni-shidare,Kitsilano,3223-3297 W 8th Ave,03/17-03/30
Beni-shidare,Kitsilano,2472 W 1st Ave,03/17-03/30
Beni-shidare,Kitsilano,2590 W 2nd Ave,03/17-03/30
Beni-shidare,Kitsilano,2389 W 14th Ave,03/17-03/30
Beni-shidare,Ladner,5054 Central Ave,03/17-03/30
Beni-shidare,Langley,4786 200a St,03/17-03/30
Beni-shidare,Langley,20581 42 Ave,03/17-03/30
Beni-shidare,Langley,6250 216 St,03/17-03/30
Beni-shidare,Langley,7024 Glover Rd,03/17-03/30
Beni-shidare,Langley,20768 50b Ave,03/17-03/30
Beni-shidare,Langley,20282 46a Ave,03/17-03/30
Beni-shidare,Marpole,1550 W 57th Ave,03/17-03/30
Beni-shidare,Marpole,7376 Angus Dr,03/17-03/30
Beni-shidare,Mount Pleasant,Yukon at 11th,03/17-03/30
Beni-shidare,Mount Pleasant,"Ontario, south of 6th",03/17-03/30
Beni-shidare,New Westminster,313 Carnarvon St,03/17-03/30
Beni-shidare,New Westminster,146 Harvey St,03/17-03/30
Beni-shidare,New Westminster,214 5th Ave,03/17-03/30
Beni-shidare,North Vancouver,St Andrews at 27th,03/17-03/30
Beni-shidare,North Vancouver,270 W. 5th at Mahon,03/17-03/30
Beni-shidare,North Vancouver,Queensbury Ave at 21st E,03/17-03/30
Beni-shidare,North Vancouver,600-616 12th St E,03/17-03/30
Beni-shidare,Oakridge,Hudson and 56th,03/17-03/30
Beni-shidare,Oakridge,5860 Tisdall St,03/17-03/30
Beni-shidare,Port Coquitlam,1343 Prairie Ave,03/17-03/30
Beni-shidare,Renfrew-Collingwood,3060 Euclid Ave,03/17-03/30
Beni-shidare,Richmond,Garden City Road and Pigott,03/17-03/30
Beni-shidare,Richmond,6360 No. 1 Road,03/17-03/30
Beni-shidare,Richmond,3780 Richmond St,03/17-03/30
Beni-shidare,Richmond,2 11491,03/17-03/30
Beni-shidare,Riley Park,John and 28th,03/17-03/30
Beni-shidare,Riley Park,18th and Cambie,03/17-03/30
Beni-shidare,Shaughnessy,VanDusen Garden at W. 37 Ave. & Oak St.,03/17-03/30
Beni-shidare,Shaughnessy,Cypress at 37th Ave,03/17-03/30
Beni-shidare,Shaughnessy,32nd and Connaught,03/17-03/30
Beni-shidare,Shaughnessy,3250 Pine St at Cedar Crescent,03/17-03/30
Beni-shidare,Shaughnessy,1965 Matthews Ave,03/17-03/30
Beni-shidare,Shaughnessy,W 37th & Osler,03/17-03/30
Beni-shidare,South Cambie,475 W 18th Ave,03/17-03/30
Beni-shidare,Strathcona,820 Heatley Ave,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,6163 Fairway Ave,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,4648 Westly Rd,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,5694 Dolphin St,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,211 Grandview Heights Rd,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,2602 Lower Rd,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,2607 Sylvan Dr,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,925 Davis Rd,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,1137 Point Rd,03/17-03/30
Beni-shidare,Sunshine Coast/Gulf Islands,1147 Rosamund Rd,03/17-03/30
Beni-shidare,Surrey and North Delta,11944 75a Ave,03/17-03/30
Beni-shidare,Surrey and North Delta,16790 24 Ave,03/17-03/30
Beni-shidare,Surrey and North Delta,10227 158a St,03/17-03/30
Beni-shidare,Surrey and North Delta,10245 159 St,03/17-03/30
Beni-shidare,Surrey and North Delta,15676 97a Ave,03/17-03/30
Beni-shidare,Tsawwassen,5686 16 Ave,03/17-03/30
Beni-shidare,Tsawwassen,4886 12 Ave,03/17-03/30
Beni-shidare,"Victoria, BC",619 Brown Dr,03/17-03/30
Beni-shidare,Victoria-Fraserview,2196 Burquitlam Dr,03/17-03/30
Beni-shidare,West End / Stanley Park,"Alexandra Park, Beach at Bidwell",03/17-03/30
Beni-shidare,West Point Grey,"Crown and Crown, north of 10th",03/17-03/30
Beni-shidare,West Vancouver,1363 clyde avenue,03/17-03/30
Beni-shidare,West Vancouver,4925 Beacon Ln,03/17-03/30
Beni-shidare,White Rock / South Surrey,Royal Ave-Johnston Rd,03/17-03/30
Beni-shidare,White Rock / South Surrey,16 and 144,03/17-03/30
Beni-shidare,White Rock / South Surrey,Northcrest Dr. and 29A Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,145a and 30a,03/17-03/30
Beni-shidare,White Rock / South Surrey,Cliff Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,14aAve and 133aStr,03/17-03/30
Beni-shidare,White Rock / South Surrey,21bAve from 150aStr,03/17-03/30
Beni-shidare,White Rock / South Surrey,"BeachviewAve,BuenaVista",03/17-03/30
Beni-shidare,White Rock / South Surrey,Southmere Crescent near 17Av,03/17-03/30
Beni-shidare,White Rock / South Surrey,"Buena Vista Ave,Everall Str",03/17-03/30
Beni-shidare,White Rock / South Surrey,On 19A Ave near 143A St,03/17-03/30
Beni-shidare,White Rock / South Surrey,"ColumbiaAve,FirStr",03/17-03/30
Beni-shidare,White Rock / South Surrey,21 Ave and 148a,03/17-03/30
Beni-shidare,White Rock / South Surrey,Vidal St north from Thrift Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,12907 22b Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,15717 20 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,1888 Harmony Pl,03/17-03/30
Beni-shidare,White Rock / South Surrey,1206 163a St,03/17-03/30
Beni-shidare,White Rock / South Surrey,1951-1999 Amble Greene Dr,03/17-03/30
Beni-shidare,White Rock / South Surrey,13856 19a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,2441-2489 139 St,03/17-03/30
Beni-shidare,White Rock / South Surrey,2649 136 St,03/17-03/30
Beni-shidare,White Rock / South Surrey,1818 Southmere Crescent,03/17-03/30
Beni-shidare,White Rock / South Surrey,14486-14534 29 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,14290 26 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,12321-12347 Seacrest Dr,03/17-03/30
Beni-shidare,White Rock / South Surrey,13339 14a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,Malabar near Lancaster,03/17-03/30
Beni-shidare,White Rock / South Surrey,2659 Northcrest Dr,03/17-03/30
Beni-shidare,White Rock / South Surrey,14123-14169 31a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,20Ave west from 128Str,03/17-03/30
Beni-shidare,White Rock / South Surrey,1262 21a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,13220-13330 20a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,13179 22a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,1785 137a St,03/17-03/30
Beni-shidare,White Rock / South Surrey,13292 18a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,15737-15787 Buena Vista Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,14227 18a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,3118-3150 147 St,03/17-03/30
Beni-shidare,White Rock / South Surrey,14857 25a Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,2992 25b Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,2224 22 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,15442 22 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,15568 Thrift Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,14478 19 Ave,03/17-03/30
Beni-shidare,White Rock / South Surrey,2190 148 St,03/17-03/30
Birch Bark Cherry,Arbutus Ridge,King Edward at Valley Drive,04/09-04/24
Birch Bark Cherry,Burnaby,Kingsway and Southoaks Crescent at Sperling,04/09-04/24
Birch Bark Cherry,Fairview,8th just west of Ash,04/09-04/24
Birch Bark Cherry,Kitsilano,3rd just west of Trafalgar,04/09-04/24
Birch Bark Cherry,Richmond,8291 General Currie Street,04/09-04/24
Birch Bark Cherry,Riley Park,"E24, Prince Edward",04/09-04/24
Birch Bark Cherry,Shaughnessy,VanDusen,04/09-04/24
Birch Bark Cherry,Shaughnessy,VanDusen,04/09-04/24
Birch Bark Cherry,Shaughnessy,"VanDusen, SinoGrtL",04/09-04/24
Birch Bark Cherry,Shaughnessy,VanDusen Rhodo W,04/09-04/24
Birch Bark Cherry,UBC,UBC Botanical Garden,04/09-04/24
Birch Bark Cherry,UBC,6804 The University of British Columbia,04/09-04/24
Birch Bark Cherry,West End / Stanley Park,Stanley Park,04/09-04/24
Birch Bark Cherry,West End / Stanley Park,"Stanley Park, nw corner rhody garden paved path",04/09-04/24
Birch Bark Cherry,West End / Stanley Park,Park Lane near Comox,04/09-04/24
Birch Bark Cherry,White Rock / South Surrey,trail from 135a Str to 136 Str,04/09-04/24
Choshu-hizakura,Arbutus Ridge,2789 Oliver Crescent,04/07-04/21
Choshu-hizakura,South Cambie,Ash and 27th,04/01-04/15
Colt,Coquitlam,2905 Vistaview Ct,03/11-03/21
Colt,Kitsilano,8th and Arbutus,03/11-03/21
Colt,Langley,29743 51b Ave,03/11-03/21
Colt,Richmond,3233 St Edwards Dr,03/11-03/21
