addressString,fullAddress,score,precision,faults,X,Y,Cultivar,Blooming
1637 127 St,"1637 127 St, Surrey, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8704768,49.0319958,Akebono,03/18-04/01
13341 15b Ave,"13341 15B Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8525711,49.0308098,Akebono,03/18-04/01
1672-1682 Amble Greene Blvd,"UNIT 1672 -- 1682 Amble Greene Blvd, Surrey, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.854594,49.0332483,Akebono,03/18-04/01
Marine Dr. near 131Str,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Akebono,03/18-04/01
Kerfoot & Magdalen,"Kerfoot Rd and Magdalen Ave, White Rock, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8260859,49.0278462,Akebono,03/18-04/01
13836 Marine Dr,"13836 Marine Dr, White Rock, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8388005,49.0264217,Akebono,03/18-04/01
1351 Terry Rd,"1351 Terrace Rd, Errington, BC",86,BLOCK(99),"[LOCALITY.missing:10, STREET_NAME.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.3414891,49.2887739,Akebono,03/18-04/01
2430 King George Hwy,"2430 King George Blvd, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, STREET_NAME.isHighwayAlias:0, PROVINCE.missing:1]",-122.7941129,49.0464912,Akebono,03/18-04/01
1521-1535 Archibald Rd,"UNIT 1521 -- 1535 Archibald Rd, White Rock, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-122.8233334,49.0298781,Akebono,03/18-04/01
13417 19 Ave,"13417 19 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8505983,49.0369432,Akebono,03/18-04/01
13577-13599 23A Ave,"UNIT 13577 -- 13599 23A Ave, Surrey, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8455407,49.045172,Akebono,03/18-04/01
2279 138a St,"2279 138A St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8384407,49.0434259,Akebono,03/18-04/01
3118-3150 147 St,"UNIT 3118 -- 3150 147 St, Surrey, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8141688,49.0592641,Akebono,03/18-04/01
3257 147 St,"3257 147 St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8147235,49.0611002,Akebono,03/18-04/01
12925-12935 21b Ave,"UNIT 12925 -- 12935 21B Ave, Surrey, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8635807,49.0419284,Akebono,03/18-04/01
2233-2275 132a St,"UNIT 2233 -- 2275 132A St, Surrey, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8558112,49.0435846,Akebono,03/18-04/01
13681-13771 21 Ave,"UNIT 13681 -- 13771 21 Ave, Surrey, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8414545,49.0405227,Akebono,03/18-04/01
12927 19 Ave,"12927 19 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8634968,49.0370776,Akebono,03/18-04/01
13830 25 Ave,"13830 25 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8390665,49.0475087,Akebono,03/18-04/01
13462 25 Ave,"13462 25 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8493353,49.0475402,Akebono,03/18-04/01
12358-12398 21a Ave,"UNIT 12358 -- 12398 21A Ave, Surrey, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8784396,49.0415019,Akebono,03/18-04/01
2189 123 St,"2189 123 St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8814737,49.0424407,Akebono,03/18-04/01
12309 24 Ave,"12309 24 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8810747,49.0459527,Akebono,03/18-04/01
2018 127a St,"2018 127A St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8697423,49.0391614,Akebono,03/18-04/01
2810-2840 144 St,"UNIT 2810 -- 2840 144 St, Surrey, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8231621,49.0535439,Akebono,03/18-04/01
13811 32 Ave,"13811 32 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8395706,49.0604465,Akebono,03/18-04/01
3169 136 St,"3169 136 St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8442181,49.0594927,Akebono,03/18-04/01
17771 20 Ave,"17771 20 Ave, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.730671,49.0386206,Akebono,03/18-04/01
3740-3748 Nico Wynd Dr,"UNIT 3740 -- 3748 Nico Wynd Dr, Surrey, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.8312192,49.0679865,Akebono,03/18-04/01
14140 Greencrest Dr,"14140 Greencrest Dr, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8305379,49.0657315,Akebono,03/18-04/01
16762 Beach Rd,"16762 Beach Rd, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7584174,49.0073409,Akebono,03/18-04/01
15223 Pacific Ave,"15223 Pacific Ave, White Rock, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7999276,49.0237464,Akebono,03/18-04/01
14889 Roper Ave,"14889 Roper Ave, White Rock, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8097595,49.0258091,Akebono,03/18-04/01
15670 28 Ave,"15670 28 Ave, Surrey, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7888389,49.0527498,Akebono,03/18-04/01
3481 150a St,"3481 150A St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8058946,49.0653619,Akebono,03/18-04/01
3419 148a St,"3419 148A St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8113051,49.0638736,Akebono,03/18-04/01
2929 156 St,"2929 156 St, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7904513,49.0547811,Akebono,03/18-04/01
14923 Southmere Pl,"14923 Southmere Pl, Surrey, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8090564,49.0377711,Akebono,03/18-04/01
2552 156 St,"2552 156 St, Surrey, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7901461,49.0487087,Akebono,03/18-04/01
Douglas and Halifax,"Douglas Rd and Halifax St, Burnaby, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.0100629,49.2679792,Ama-no-gawa,04/07-04/21
Beta,"ʔEt’a ʔEten, Anahims Flat IR, BC",64,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, PROVINCE.missing:1]",-123.1622975,52.0046367,Ama-no-gawa,04/07-04/21
306-404 MacDonald Ave,"UNIT 306 -- 404 MacDonald Ave, Burnaby, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0162236,49.2809896,Ama-no-gawa,04/07-04/21
3991-3997 BC-7,"Seven Mile Corner in Rolla, BC",46,LOCALITY(68),"[LOCALITY_INITIAL_GARBAGE.notAllowed:20, LOCALITY.partialMatch:1, PROVINCE.missing:1]",-120.3180556,55.8997222,Ama-no-gawa,04/07-04/21
6648 Curtis St,"6648 Curtis St, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9663001,49.2749589,Ama-no-gawa,04/07-04/21
7554 Royal Oak Ave,"7554 Royal Oak Ave, Burnaby, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.988413,49.2152332,Ama-no-gawa,04/07-04/21
6919 Union St,"6919 Union St, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9608343,49.278048,Ama-no-gawa,04/07-04/21
5712 Kitchener St,"5712 Kitchener St, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9808403,49.2713581,Ama-no-gawa,04/07-04/21
4433 Graveley St,"4433 Graveley St, Burnaby, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0052434,49.2701926,Ama-no-gawa,04/07-04/21
Topaz and Luckakuck way,"Luckakuck Way and Topaz Dr, Chilliwack, BC",83,INTERSECTION(100),"[STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-121.9666234,49.1408807,Ama-no-gawa,04/07-04/21
Luckakuck Way near Amber Dr,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
1210 Pipeline Rd,"1210 Pipeline Rd, Coquitlam, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7855133,49.2848066,Ama-no-gawa,04/07-04/21
548 Foster Ave,"548 Foster Ave, Coquitlam, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8882096,49.256385,Ama-no-gawa,04/07-04/21
4847-5101 Arthur Dr,"UNIT 4847 -- 5101 Arthurs Rd, Hornby Island, BC",76,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.notMatched:3, PROVINCE.missing:1, FAULTS.tooMany:6]",-124.6467529,49.5069321,Ama-no-gawa,04/07-04/21
5116-5140 47a Ave,"47 A Rd, Tahsis, BC",82,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, LOCALITY.missing:10, STREET_TYPE.notMatched:3, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-126.6570439,49.9271764,Ama-no-gawa,04/07-04/21
4724-4728 57 St,"UNIT 4724 -- 4728 57 St, Delta, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-123.065252,49.0883214,Ama-no-gawa,04/07-04/21
Bayshore Hotel inner courtyard,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
3726 W 35th Ave,"3726 W 35th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1870489,49.2402072,Ama-no-gawa,04/07-04/21
3355 Deering Island Pl,"3355 Deering Island Pl, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1816529,49.2173674,Ama-no-gawa,04/07-04/21
3925 W 18th Ave,"3925 W 18th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1915805,49.2567635,Ama-no-gawa,04/07-04/21
South side of 12 Ave. between Oak & Laurel St.,"Southwind Rd, St. Ives, BC",60,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.partialMatch:1, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-119.1043177,50.9791157,Ama-no-gawa,04/07-04/21
16th at Willow,"Willowbrook in Bessborough, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-120.5513889,55.8163889,Ama-no-gawa,04/07-04/21
1223 W 7th Ave,"1223 W 7th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1319386,49.2654719,Ama-no-gawa,04/07-04/21
1503 Venables St,"1503 Venables St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0740887,49.2769708,Ama-no-gawa,04/07-04/21
10th e of Commercial in parking lot 2 trees?,"2 Treelane Rd, Campbell River, BC",70,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-125.2752544,50.0260299,Ama-no-gawa,04/07-04/21
Westbound Kingsway @ Dumfries St Knight,"Knight Inlet, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-125.6778832,51.2565741,Ama-no-gawa,04/07-04/21
48th & Wales,"E 48th Ave and Wales St, Vancouver, BC",75,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0517994,49.2259246,Ama-no-gawa,04/07-04/21
1st and Maple,"1st Ave and Maple St, Cultus Lake, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-121.9779053,49.0692178,Ama-no-gawa,04/07-04/21
Larch between 4th and 5th,"Fifth Cabin in Driftwood River, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-127.9608334,56.4191667,Ama-no-gawa,04/07-04/21
2nd and Larch,"Larch St and W 2nd Ave, Vancouver, BC",75,INTERSECTION(100),"[STREET_DIRECTION.missing:2, STREET_DIRECTION.notSuffix:0, STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1622012,49.2700495,Ama-no-gawa,04/07-04/21
Macdonald and 2nd,"2nd Ave and MacDonald Ave, Burnaby, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-123.0163477,49.2684659,Ama-no-gawa,04/07-04/21
Yew,"Yew Crt, Comox, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.92503,49.6853999,Ama-no-gawa,04/07-04/21
1068 Maple St,"1068 Maple St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1497271,49.2769139,Ama-no-gawa,04/07-04/21
2721 W 7th Ave,"2721 W 7th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1670883,49.2660221,Ama-no-gawa,04/07-04/21
2124 W 8th Ave,"2124 W 8th Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1537035,49.2645169,Ama-no-gawa,04/07-04/21
Willowbrook shopping center,"Hunter Island, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-128.1424318,51.8776652,Ama-no-gawa,04/07-04/21
2983-3025 Aldergrove-Bellingham Hwy,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
5656-5660 201a St,"UNIT 5656 -- 5660 201A St, Langley, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.6634366,49.1057952,Ama-no-gawa,04/07-04/21
200 St @ 40 Ave Langley Twp,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
20881 56 Ave,"20881 56 Ave, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6450902,49.1049629,Ama-no-gawa,04/07-04/21
20969 80 Ave,"20969 80 Ave, Township of Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6411235,49.1481684,Ama-no-gawa,04/07-04/21
5360 205 St,"5360 205 St, Langley, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.6531399,49.0996713,Ama-no-gawa,04/07-04/21
1006 Eighth Ave,"1006 8th Ave, Invermere, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-116.0306245,50.5053122,Ama-no-gawa,04/07-04/21
402 Eighth Ave,"402 8th Ave, Castlegar, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-117.6610274,49.3252057,Ama-no-gawa,04/07-04/21
Tempe Knoll Dr.,"Tempe Knoll Dr, North Vancouver, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0570529,49.3324421,Ama-no-gawa,04/07-04/21
East 2t Street (Btw Eastern Ave. and St Geroges Ave.),BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
The manor at Edgement,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
East 27th St. and Eastern,"E 27th St and Eastern Lane, North Vancouver, BC",83,INTERSECTION(100),"[STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.0696724,49.3341007,Ama-no-gawa,04/07-04/21
Trillium Pl,"Trillium Pl, Comox, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-124.9169644,49.7082037,Ama-no-gawa,04/07-04/21
Walpole Crescent,"Walpole Cres, District of North Vancouver, BC",67,STREET(78),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9988854,49.3218163,Ama-no-gawa,04/07-04/21
2147 Shaughnessy St,"2147 Shaughnessy St, Port Coquitlam, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7829669,49.2551357,Ama-no-gawa,04/07-04/21
2375 Shaughnessy St,"2375 Shaughnessy St, Port Coquitlam, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7830684,49.2584272,Ama-no-gawa,04/07-04/21
2840 Oxford St,"2840 Oxford St, Port Coquitlam, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.7664956,49.263995,Ama-no-gawa,04/07-04/21
3512 Marine Ave,"3512 Marine Ave, Belcarra, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.905334,49.3225832,Ama-no-gawa,04/07-04/21
3130 St Johns St,"3130 St. Johns St, Port Moody, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8391283,49.2773001,Ama-no-gawa,04/07-04/21
88 Grant St,"88 Grant St, Port Moody, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.8518847,49.2774747,Ama-no-gawa,04/07-04/21
Suter Brook Way Port Moody,"Suter Brook Way, Port Moody, BC",77,STREET(78),[PROVINCE.missing:1],-122.8280731,49.2793532,Ama-no-gawa,04/07-04/21
3178 Rupert St,"3178 Rupert St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.0333522,49.2557715,Ama-no-gawa,04/07-04/21
Minoru Blvd and Westminster Hwy ???6 trees,"6 Treelane Rd, Campbell River, BC",70,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-125.2749289,50.0260414,Ama-no-gawa,04/07-04/21
the corner of McMillan Way and Westminster Hwy,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
8120 Granville Road,"8120 Granville St, Vancouver, BC",85,BLOCK(99),"[LOCALITY.missing:10, STREET_TYPE.notMatched:3, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.140328,49.2117975,Ama-no-gawa,04/07-04/21
8644 Jones St,"8644 Jones Subdiv, Fort St. John, BC",85,BLOCK(99),"[LOCALITY.missing:10, STREET_TYPE.notMatched:3, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-120.8465905,56.2755684,Ama-no-gawa,04/07-04/21
Sandman Hotel,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
No. 1 Rd,"1 Road A, Klemtu, BC",84,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-128.5201602,52.588828,Ama-no-gawa,04/07-04/21
7571 Moffatt Road,"7571 Moffatt Rd, Richmond, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.145667,49.1573351,Ama-no-gawa,04/07-04/21
10251 st edwards dr,"10251 St. Edwards Dr, Richmond, BC",88,BLOCK(99),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1104694,49.1868171,Ama-no-gawa,04/07-04/21
Eastbound Westminster Hwy @ Elmbridge Way Richmond,"Richmond, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1630556,49.1630556,Ama-no-gawa,04/07-04/21
621-7008 River Rd,"UNIT 621 -- 7008 River Rd, Richmond, BC",87,BLOCK(99),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1476789,49.1775291,Ama-no-gawa,04/07-04/21
40th and Quebec,"40 Andover Rd, Nanoose Bay, BC",81,BLOCK(99),"[STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.notMatched:1]",-124.1335241,49.2747443,Ama-no-gawa,04/07-04/21
5033 Kersland Dr,"5033 Kersland Dr, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1162566,49.239941,Ama-no-gawa,04/07-04/21
226 Talisman Ave,"226 Talisman Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1105877,49.246527,Ama-no-gawa,04/07-04/21
VanDusen GrtL,BC,1,PROVINCE(1),[],-122.7452849,53.913051,Ama-no-gawa,04/07-04/21
16th at Willow,"Willowbrook in Bessborough, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-120.5513889,55.8163889,Ama-no-gawa,04/07-04/21
3434 Laurel St,"3434 Laurel St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.124247,49.2550258,Ama-no-gawa,04/07-04/21
4085 Ash St,"4085 Ash St, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1188701,49.2493788,Ama-no-gawa,04/07-04/21
5098 Davis Bay Rd,"5098 Davis Bay Rd, Sechelt, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.7237882,49.4434341,Ama-no-gawa,04/07-04/21
696 Trueman Rd,"696 Trueman Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.508326,49.3966934,Ama-no-gawa,04/07-04/21
361 Harry Rd,"361 Harry Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5534087,49.396182,Ama-no-gawa,04/07-04/21
868 Inglis Rd,"868 Inglis Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5177834,49.4006472,Ama-no-gawa,04/07-04/21
1730 Ocean Beach Esplanade,"1730 Ocean Beach Espl, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5590232,49.3954985,Ama-no-gawa,04/07-04/21
872 O'Shea Rd,"872 O'Shea Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5180266,49.4040741,Ama-no-gawa,04/07-04/21
5098 Davis Bay Rd,"5098 Davis Bay Rd, Sechelt, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.7237882,49.4434341,Ama-no-gawa,04/07-04/21
5301 Snodgrass Rd,"5301 Snodgrass Rd, Sechelt, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.7356881,49.4608412,Ama-no-gawa,04/07-04/21
442 Marine Dr,"442 Marine Dr, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5042586,49.402128,Ama-no-gawa,04/07-04/21
1152 Reed Rd,"1152 Reed Rd, Gibsons, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.5335782,49.4139281,Ama-no-gawa,04/07-04/21
